Ticker,div yield,payout ratio,roe,buy score
HAS,5.47,190.41,6.83,129
WU,8.28,40.17,218.53,129
BOH,5.41,51.09,15.42,127
KEY,7.21,41.15,12.38,122
MMM,5.8,58.55,38.75,113
NRG,4.89,27.08,32.88,111
AMGN,3.65,64.08,126.47,110
VZ,7.14,51.09,24.76,108
WHR,5.31,N/A,-40.19,108
TSN,3.36,27.64,12.75,105
RDN,4.35,18.39,18.17,104
PETS,6.81,214.29,8.31,103
FNF,4.94,43.17,14.93,102
BLK,3.2,57.46,12.86,101
ALL,2.91,N/A,-6.42,100
LEG,5.61,76.65,18.84,98
JHG,5.92,69.51,5.84,95
HD,2.92,45.54,N/A,94
KMB,3.85,81.12,272.93,93
FAF,3.92,84.08,5.06,93
USB,4.54,50.95,10.95,92
SAFT,4.91,114.29,5.35,92
MTB,3.89,41.63,9.22,86
IBM,5.26,337.95,8.69,85
ZION,3.97,27.29,14.68,84
CMA,6.68,32.11,17.6,83
PFE,4.11,29.25,36.22,82
PARA,4.95,93.2,3.58,81
CVBF,3.73,46.11,11.68,79
PFC,5.48,42.11,10.69,79
IP,5.31,39.03,19.81,76
HNI,4.9,43.2,20.53,73
SNA,2.73,34.96,21.45,71
RF,4.24,32.46,13.1,69
MO,8.05,115.36,N/A,67
JEF,3.48,39.22,7.39,66
PRU,6.08,N/A,-3.66,66
NTRS,3.45,47.23,11.48,66
K,3.67,83.87,22.4,66
NWBI,6.27,76.19,8.69,65
SRCE,2.72,26.03,12.73,63
TXN,2.86,49.84,62.69,61
CSCO,3.22,55.68,27.92,61
TROW,4.38,71.64,14.54,57
OZK,3.58,27.75,11.84,55
FAST,2.71,65.61,35.03,55
CATY,3.7,28.16,14.66,55
WBS,4.26,43.01,11.21,53
ADP,2.28,58.11,78.3,52
IBOC,2.81,25.1,13.79,48
HBAN,4.51,42.76,12.13,45
FITB,4.17,37.61,12.37,45
AMCR,4.56,67.86,24.14,44
STBA,3.74,34.68,11.34,44
PAYX,2.85,74.81,46.37,40
SNV,4.84,27.47,15.51,40
FCF,3.44,34.67,11.86,39
KO,3.09,80.37,37.77,39
HIG,2.36,29.04,11.53,39
WSO,3.24,55.48,33.15,38
CMI,2.66,39.95,22.25,37
BBY,4.66,55.96,48.81,37
AGM,3.25,27.4,14.33,37
EVR,2.56,24.46,31.62,37
NEM,3.83,N/A,-1.93,36
IPG,3.73,48.95,26.02,36
CINF,2.56,N/A,-4.11,33
AVGO,2.98,56.95,55.27,32
ITW,2.23,51.79,90.36,30
HFWA,3.61,36.36,9.91,29
CHCO,2.85,36.03,16.21,28
FHN,2.87,39.22,10.7,28
FLO,3.31,81.31,16.0,27
OMC,3.18,44.03,33.92,27
UNM,3.11,19.38,12.75,25
BANR,3.7,31.04,12.42,24
LMT,2.51,52.63,56.68,22
GPC,2.3,43.08,32.37,21
LAZ,5.56,55.27,26.96,20
SYBT,2.16,35.51,12.99,20
EOG,2.87,22.69,33.05,19
MCY,4.25,N/A,-28.0,16
PEP,2.65,70.48,53.72,15
OKE,5.82,97.4,27.54,15
PFG,3.24,13.58,36.26,15
NSP,1.78,43.32,451.19,14
EIG,2.55,58.86,4.49,13
HRB,3.2,41.33,N/A,13
MRK,2.76,49.04,34.46,12
LYB,5.49,39.73,31.43,10
ETD,4.33,27.96,28.47,10
VLO,3.18,13.5,52.46,9
BEN,4.44,59.69,6.91,7
RGR,3.59,48.79,25.96,7
MSM,3.77,48.03,27.43,6
CNS,3.56,63.4,38.76,5
MGRC,1.89,38.3,14.99,3
BKE,3.83,27.61,73.89,2
FHI,2.81,40.75,20.53,1
