Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
ABC,Amerisource Bergen Corp.,Healthcare,165.19,0.0117440523,0.0543478261,0.0500056317,1.850726577,33914.75676,19.96371408,0.230189873,0.488535679,174.63,125.96
ABM,ABM Industries Inc.,Industrials,46.4,0.0189655172,0.128205128,0.0468318471,0.799449933,3015.663443,13.08881703,0.234442796,0.852606876,53.24,37.32
ABT,Abbott Laboratories,Healthcare,113.04,0.0180467091,0.085106383,0.127411418,1.907188983,194164.3758,24.61203902,0.428581794,0.830346693,128.65,92.83
ACN,Accenture plc,Technology,281.13,0.0159356881,N/A,N/A,4.155571744,186876.9955,26.50325879,0.378122998,1.202539515,354.72,241.96
ADI,Analog Devices Inc.,Technology,168.97,0.0179913594,0.101449275,0.0962622794,3.01915721,85902.94637,31.2537893,0.575077564,1.291943855,179.95,132.89
ADM,Archer Daniels Midland Co.,Consumer Defensive,87.885,0.0182056096,0.0810810811,0.0361032521,1.589390593,48006.3181,11.70029688,0.219529087,0.567762403,98.12,64.42
ADP,Automatic Data Processing Inc.,Industrials,245.345,0.0203794657,0.201923077,0.146869208,4.341176811,101325.8309,33.46958805,0.601271026,0.938060584,274.92,188.67
AEL,American Equity Investment Life Holding Co,Financial Services,46.38,0.00776196636,N/A,N/A,0.360000014,3980.012954,3.08799832,0.0260680677,0.887034015,47.3,28.05
AEP,American Electric Power Company Inc.,Utilities,95.11,0.0349069498,0.0641025641,0.0600766794,3.130192243,49541.5972,20.12413567,0.649417478,0.522398954,104.62,79.55
AFG,American Financial Group Inc,Financial Services,141.295,0.017835026,0.125,0.0473072478,2.309248033,12023.96549,12.30702712,0.201505064,0.676980221,148.18,110.56
AFL,Aflac Inc.,Financial Services,72.2,0.0232686981,0.212121212,N/A,1.585087414,44644.41861,8.831734641,0.202956135,0.684062986,74.02,51.43
AGM,Federal Agricultural Mortgage Corp.,Financial Services,123.92,0.0306649451,0.0795454545,0.103720534,3.750781193,1264.32843,8.739456483,0.282013624,0.800032568,126.88,88.53
AGO,Assured Guaranty Ltd,Financial Services,62.28,0.0160565189,0.136363636,0.0933620739,0.993503721,3722.656119,12.70531099,0.223762099,0.876195309,67.13,45.72
AIT,Applied Industrial Technologies Inc.,Industrials,123.93,0.0109739369,0,0.0253485757,1.354220776,4809.923661,17.09739149,0.188347813,0.813802685,133.74,87.6
AIZ,Assurant Inc,Financial Services,127.085,0.0220324979,0.0294117647,0.0456395526,2.731863227,6656.760054,20.25794295,0.463813791,0.586732692,192.59,119.01
AJG,Arthur J. Gallagher & Co.,Financial Services,195.655,0.0104265161,0.0625,0.0446174201,2.031611749,41111.6916,37.78300855,0.399137868,0.831791744,201.51,145.6
ALB,Albemarle Corp.,Basic Materials,235.58,0.00670685118,0.0128205128,0.0334999447,1.576483568,28492.73103,18.3404371,0.119611803,1.374944367,334.02,168.83
ALE,"Allete, Inc.",Utilities,65.5,0.0396946565,0.0317460317,0.0302557948,2.558628204,3772.683948,18.91069648,0.704856255,0.525155788,67.45,47.26
ALL,Allstate Corp (The),Financial Services,137.83,0.0246680694,0.049382716,0.130660496,3.366805954,36352.27631,N/A,N/A,0.593458227,142.15,110.37
AMGN,AMGEN Inc.,Healthcare,271.63,0.0313661967,0.102272727,0.080054224,7.675417928,144557.2785,21.14956525,0.615017462,0.347770761,294.64,209.61
AMP,Ameriprise Financial Inc,Financial Services,329.91,0.0151556485,0.10619469,0.0853414369,4.849137155,35242.18379,12.74120889,0.201879149,1.239759456,339.41,218.08
ANDE,Andersons Inc.,Consumer Defensive,35.735,0.0207079894,0.0277777778,0.0231458731,0.719106123,1185.668126,7.815977313,0.163062613,0.565031214,58.03,29.03
ANTM,Anthem Inc,Healthcare,482.58,0.00994952483,N/A,N/A,4.801441692,116342.6931,18.63271831,0.189033137,0.688187555,532.31,352.54
AON,Aon plc.,Financial Services,315.95,0.00708972939,N/A,N/A,2.183906127,65338.63689,0,N/A,0.850262768,340.07,245.26
AOS,A.O. Smith Corp.,Industrials,61.27,0.0195854415,0.0714285714,0.107566343,1.131336004,9380.417358,15.7242563,0.360298091,0.935938861,80.49,46.31
APD,Air Products & Chemicals Inc.,Basic Materials,307.77,0.0210546837,0.08,0.0804992403,6.421524823,68825.04286,30.50620224,0.633286472,0.833187573,326.85,210.83
APH,Amphenol Corp.,Technology,80.08,0.0104895105,N/A,N/A,0.806644015,48143.14829,25.88758847,0.270685911,1.087253606,82.64,61.33
APOG,Apogee Enterprises Inc.,Industrials,46.3,0.0207343413,0.1,0.0691248511,0.872959795,1034.278718,15.2970393,0.2969251,1.014834283,49.65,35.57
ARE,Alexandria Real Estate Equities Inc.,Real Estate,155.91,0.030273876,0.052173913,0.0609833588,4.661855391,25577.92458,47.85088429,1.387456962,0.92319132,204.32,125.67
ASB,Associated Banc-Corp.,Financial Services,22.97,0.0348280366,0.05,0.0696103757,0.800967427,3518.405233,10.98238661,0.376041046,0.825056573,25.28,17.13
ASH,Ashland Inc,Basic Materials,111.545,0.0116351282,0.116666667,0.0828603647,1.299992879,6049.903303,6.526325031,0.0785494187,0.870765995,114.36,82.77
ATO,Atmos Energy Corp.,Utilities,114.76,0.0257929592,0.0882352941,0.0881731261,2.768039951,16411.43905,21.85327638,0.50054972,0.542134904,121.5,97.71
ATR,Aptargroup Inc.,Consumer Cyclical,113.48,0.0133944307,0,0.034967527,1.511564517,7409.734908,31.14629576,0.425792822,0.750640836,121.61,89.88
ATRI,Atrion Corp.,Healthcare,614.28,0.0140001302,0.102564103,0.123702748,8.1575227,1088.886242,31.27725174,0.421577401,0.592269943,775.63,534.99
AUB,Atlantic Union Bankshares Corp,Financial Services,36.33,0.0308298071,0.0714285714,0.0739409238,1.135153498,2750.877688,13.7614756,0.426749435,0.778756884,40.93,29.73
AVA,Avista Corp.,Utilities,42.53,0.0413825535,0.0414201183,0.033868444,1.732137594,3160.553558,24.67312707,0.97860881,0.404047047,45.45,35.31
AVGO,Broadcom Inc,Technology,579.74,0.0317383655,0.12195122,0.213232279,16.73059781,243184.6603,21.66841845,0.630629393,1.287139449,634.65,411.63
AVNT,Avient Corp,N/A,37.95,0.0260869565,0.0421052632,0.0717843985,0.950784222,3467.676837,18.40592801,0.463797182,1.41201347,54.15,27.45
AVY,Avery Dennison Corp.,Industrials,192.755,0.0155637986,N/A,N/A,2.921455984,15625.40032,19.1276782,0.295693925,0.974086613,209.71,151.03
AWK,American Water Works Co. Inc.,Utilities,159.535,0.0164227286,0.0871369295,0.0955662392,2.550597976,28986.99967,21.99317122,0.352292538,0.715756056,171.57,122.19
AWR,American States Water Co.,Utilities,94.9,0.0167544784,0.0890410959,0.0928470657,1.515144146,3520.895048,44.05028273,0.701455623,0.523149148,100.51,70.59
AXS,Axis Capital Holdings Ltd,Financial Services,56.71,0.0303297478,0.023255814,0.0244189743,1.709024972,4769.286252,13.65649841,0.417854516,0.690426546,59.92,47.78
BANF,Bancfirst Corp.,Financial Services,88.555,0.0171644741,0.111111111,0.13754383,1.510451822,2942.244363,16.89566195,0.289358587,0.502340945,117.02,71.64
BBY,Best Buy Co. Inc.,Consumer Cyclical,85.33,0.0412516114,0.257142857,0.143547034,3.460082092,19117.24883,12.33370892,0.513365295,1.194185238,108.09,60.13
BCPC,Balchem Corp.,Basic Materials,126.76,0.00556121233,N/A,N/A,0.709999979,4102.691026,37.67047127,0.211940292,0.814599169,156.08,109.5
BDX,"Becton, Dickinson And Co.",Healthcare,255.585,0.0142418374,0.0459770115,0.0394318633,3.480910997,72374.62618,42.79989721,0.591991666,0.541837043,274.41,215.1
BEN,"Franklin Resources, Inc.",Financial Services,29.935,0.0400868549,0.0344827586,0.0545779433,1.149480244,14922.69769,9.030376818,0.34109206,1.270452708,33.81,20.01
BIP,Brookfield Infrastructure Partners L.P,Utilities,34.52,0.0417149479,N/A,N/A,1.514063641,15682.25338,0,N/A,0.569624374,44.78,30.03
BK,Bank Of New York Mellon Corp,Financial Services,49.23,0.0300629697,0.0882352941,0.0904307661,1.402300184,38926.76234,14.55206069,0.427530544,0.952455893,63.01,35.9
BKH,Black Hills Corporation,Utilities,72.37,0.0345447008,0.0504201681,0.0564216223,2.380004449,4760.474646,18.51827582,0.599497342,0.478920242,79.04,58.53
BLK,Blackrock Inc.,Financial Services,750.3,0.0260162602,0.181598063,0.111233862,19.38531307,113241.4572,20.35984488,0.533736593,1.289191492,841.2,499.68
BMI,Badger Meter Inc.,Industrials,115.51,0.0077915332,0.125,0.115957957,0.847366271,3345.171039,50.50610782,0.374940828,0.979679249,120.54,72.89
BMRC,Bank of Marin Bancorp,Financial Services,32.9,0.0303951368,0.0416666667,N/A,0.969406362,526.219693,12.11957192,0.356399398,0.492940321,38.48,29.39
BMY,Bristol-Myers Squibb Co.,Healthcare,72.17,0.0315920743,0.0555555556,0.0734034155,2.165518037,152233.0808,22.79962271,0.703090272,0.288440525,80.8,59.4
BOKF,BOK Financial Corp.,Financial Services,101.9,0.0208047105,0.0188679245,0.0371372893,2.112617793,6924.511274,14.86712314,0.30662087,0.732680984,117.57,69.46
BR,"Broadridge Financial Solutions, Inc.",Technology,144.39,0.0200844934,0.1328125,0.147120467,2.71150608,17058.84528,32.66726404,0.616251382,0.954324975,181.63,130.69
BRC,Brady Corp.,Industrials,50.495,0.0182196257,0.0222222222,0.0208030218,0.903260026,2322.725925,15.5712078,0.312546722,0.709564692,53.14,40.32
BRO,"Brown & Brown, Inc.",Financial Services,61.115,0.00752679375,N/A,N/A,0.421399651,17463.49115,28.330553,0.190678575,0.942585757,73.61,52.72
CAH,"Cardinal Health, Inc.",Healthcare,77.11,0.0256776034,0.00998370008,0.0140052854,1.956809232,20058.49774,N/A,N/A,0.498817041,81.05,47.56
CASS,Cass Information Systems Inc,Industrials,48.47,0.0239323293,0.0357142857,0.0385737731,1.117907879,665.581118,19.97482423,0.46386219,0.597597265,49.51,31.14
CASY,"Casey`s General Stores, Inc.",Consumer Defensive,220.09,0.00690626562,0.0857142857,0.078852444,1.456326515,8237.136152,19.88268073,0.131556144,0.627874192,249.9,169.93
CAT,Caterpillar Inc.,Industrials,257.54,0.0186378815,0.0810810811,0.089976987,4.57678895,132740.8142,18.0085218,0.332615476,0.801607623,257.38,159.53
CB,Chubb Limited,Financial Services,225.92,0.0146954674,0.0375,0.0317249871,3.270304337,93635.34181,15.24508984,0.227262289,0.613142728,230.27,173.11
CBOE,Cboe Global Markets Inc.,Financial Services,122.91,0.016272069,0.0416666667,0.13115273,1.948082469,13129.7908,54.79879299,0.869679674,0.515185855,130.52,102.52
CBSH,"Commerce Bancshares, Inc.",Financial Services,69.23,0.0153112812,N/A,N/A,1.021166614,8296.197141,17.75035654,0.262510698,0.660843985,72.6,59.81
CBT,Cabot Corp.,Basic Materials,72.01,0.0201740462,0,0.0327096472,1.468872303,4101.30284,19.90923709,0.40576583,1.206199879,77.84,52.24
CBU,"Community Bank System, Inc.",Financial Services,64.07,0.0274699547,0.023255814,0.0529184891,1.721881437,3459.957823,19.36713381,0.523368218,0.596216993,75.92,58.28
CE,Celanese Corp,Basic Materials,120.27,0.0232809512,0.0294117647,0.0875971019,2.713853205,13189.19056,7.988607242,0.17984448,1.196401419,170.06,86.07
CFR,Cullen Frost Bankers Inc.,Financial Services,135.26,0.0257282271,0.16,0.0882505101,3.211520668,8678.398238,18.14471247,0.432819497,0.763408541,159.65,111.26
CHCO,City Holding Co.,Financial Services,92.36,0.0266677712,0.0833333333,0.0715960522,2.473969138,1378.166443,14.67867847,0.39394413,0.407099175,102.27,71.58
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,81.38,0.012902433,0.0396039604,0.0383266701,1.04495547,19848.44476,26.94237106,0.350656198,0.395333177,104.31,69.91
CHDN,"Churchill Downs, Inc.",Consumer Cyclical,224.03,0.00319878136,N/A,N/A,0.713999987,8348.783673,17.33191545,0.0572574167,1.216090312,248.53,172.19
CHE,Chemed Corp.,Healthcare,495.37,0.00301468379,0.0555555556,0.0629800483,1.477195057,7286.44945,27.79782564,0.0857338977,0.480207753,527.49,429.5
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,93.19,0.0242515291,0.109090909,0.0580699997,2.241942877,11005.83526,10.24342721,0.271750652,0.680419511,119.91,84.74
CINF,Cincinnati Financial Corp.,Financial Services,108.31,0.0254824116,0.0952380952,0.0541796887,2.733139093,16964.90236,N/A,N/A,0.763153121,140.48,88.09
CL,Colgate-Palmolive Co.,Consumer Defensive,77.09,0.02438708,0.0444444444,0.0327794154,1.842763046,64177.8599,33.28727173,0.80470002,0.393742837,83.26,67.4
CLX,Clorox Co.,Consumer Defensive,143.43,0.0329080388,0.0172413793,0.0703370139,4.623132285,17621.81671,43.51065854,1.413801922,0.45345547,181.19,118.52
CMCSA,Comcast Corp,Communication Services,38.835,0.0278099652,0.08,0.0728080722,1.075239806,166907.2795,30.89159347,0.896033172,0.769113571,51.35,28.39
CME,CME Group Inc,Financial Services,175.66,0.0227712627,3.5,0.430969081,8.365051555,63565.20241,24.14082352,1.141207579,0.51473302,245.26,161.33
CMI,Cummins Inc.,Industrials,248.62,0.0252594321,0.0827586207,0.0776932914,5.982113927,35271.12797,18.42796655,0.446426412,0.80264999,253.53,181.87
CMS,CMS Energy Corporation,Utilities,63.71,0.0288808664,0,0.0517108567,1.819788574,18674.78807,14.4095587,0.407111538,0.446653896,72.19,51.99
CNS,Cohen & Steers Inc.,Financial Services,72.63,0.0297106132,0,0.0884589074,2.154019459,3531.20965,17.39289377,0.522820257,1.047584003,85.62,51.41
COST,Costco Wholesale Corp,Consumer Defensive,482.06,0.00746795005,0.139240506,0.0956542577,3.481147229,214068.1988,36.38140701,0.263125263,0.928361118,609.12,405.08
CPK,Chesapeake Utilities Corp,Utilities,123,0.017398374,0.114583333,0.104826504,2.071760492,2178.421565,25.22547494,0.426288167,0.447870137,140.55,105.32
CSCO,"Cisco Systems, Inc.",Technology,48.64,0.03125,0.027027027,0.0286175535,1.504024368,201333.3642,17.50420485,0.544936365,0.84770296,60.04,38.3
CSL,Carlisle Companies Inc.,Industrials,239.09,0.0125475762,0.388888889,0.151786298,2.5705908,12511.64341,14.25178655,0.154575514,0.817535558,316.97,208.97
CSX,CSX Corp.,Industrials,32.2,0.0124223602,0.071432398,N/A,0.398129884,68307.2596,16.73377256,0.211771215,0.850869588,38.27,25.72
CTAS,Cintas Corporation,Industrials,445.19,0.010332667,N/A,N/A,4.18458,45346.10634,35.42313094,0.340486574,0.936529414,470.23,342.05
CTBI,"Community Trust Bancorp, Inc.",Financial Services,46.66,0.0377196742,0.1,0.059223841,1.656213851,836.783676,10.64352988,0.375558696,0.452753539,47.6,38.33
CUBE,CubeSmart,Real Estate,42.12,0.0465337132,0.139534884,0.103100204,1.75121312,9530.949674,37.41309946,1.53615186,0.861078233,53.17,36.38
CVX,Chevron Corp.,Energy,177.5,0.032,0.0597014925,0.0486101674,5.610529513,342408.7137,10.02162068,0.318599064,0.545761109,188.22,118.57
CWT,California Water Service Group,Utilities,62.23,0.0160694199,0.0869565217,0.059223841,0.993555321,3414.43872,42.66768369,0.666815652,0.540698927,66.12,48.06
DCI,Donaldson Co. Inc.,Industrials,61.35,0.014995925,0.0454545455,0.0502460726,0.904683778,7455.757588,21.74324173,0.328975919,0.847974933,61.71,45.64
DDS,Dillard`s Inc.,Consumer Cyclical,370.65,0.00215837043,0,0.148698355,0.771636808,4802.056519,5.198769414,0.0151242024,1.45258124,372.61,183.88
DFS,Discover Financial Services,Financial Services,106.39,0.0225585111,N/A,N/A,2.281455405,28978.32464,6.678572168,0.148435615,1.211290941,126.43,87.03
DGX,"Quest Diagnostics, Inc.",Healthcare,147.74,0.0176661703,N/A,N/A,2.586538676,16869.01146,13.73698002,0.254330253,0.549630111,158.34,119.75
DLR,Digital Realty Trust Inc,Real Estate,105.765,0.0461400274,0.0517241379,0.0385028468,4.803849106,30845.38966,22.01875383,0.986416654,0.916387237,151.82,84.82
DOV,Dover Corp.,Industrials,143.31,0.0140953178,0.01,0.0144688215,1.998731729,20056.57945,17.2221273,0.248289656,0.945494203,177.39,114.08
DTE,DTE Energy Co.,Utilities,117.77,0.0300585888,0.0762711864,0.0153833883,3.567896331,23130.85631,20.63412695,0.563648709,0.477156404,137.14,99.84
DUK,Duke Energy Corp.,Utilities,104.86,0.0383368301,0.0203045685,0.0246020277,3.923011035,80918.19608,21.27187068,0.794131788,0.428442609,113.06,82.9
ECL,"Ecolab, Inc.",Basic Materials,152.95,0.0138607388,0.0392156863,0.0526849224,2.049309123,43686.92784,38.71924829,0.52278294,1.133708574,218.57,130.56
ED,"Consolidated Edison, Inc.",Utilities,96.57,0.0327223775,0.0193548387,0.0201504134,3.120247279,34609.77357,20.43079904,0.654139891,0.429778298,101.31,77.38
EGP,"Eastgroup Properties, Inc.",Real Estate,160.39,0.0311740133,0.136363636,0.14326263,4.644047233,6957.270557,31.71044009,0.889664221,0.938688355,212.25,136.29
EIX,Edison International,Utilities,68.005,0.0433791633,0.0535714286,0.0404023632,2.790304676,26139.32144,36.3046131,1.484204615,0.660549474,70.93,53.83
ELS,Equity Lifestyle Properties Inc.,Real Estate,68.135,0.0240698613,0.131034483,N/A,1.624637018,12735.57607,45.95623646,1.144110576,0.737450553,82.26,56.55
EMN,Eastman Chemical Co,Basic Materials,90.285,0.0350002769,0.0394736842,0.0712425456,3.03014363,10950.32062,9.359248392,0.334822501,1.123994725,125.26,69.28
EMR,Emerson Electric Co.,Industrials,97.36,0.0213640099,0.00970873786,0.0140335426,2.035206169,57986.77,18.34443847,0.384727064,0.876128781,99.65,71.58
ENSG,Ensign Group Inc,Healthcare,98.69,0.00227399451,0.0454545455,0.0502460726,0.222282963,5423.586611,25.46882653,0.0592754569,0.678618559,98.1,70.15
EPD,Enterprise Products Partners L P,Energy,25.68,0.0763239875,0.0215053763,0.0212956876,1.829157068,55825.11824,11.04704125,0.788429771,0.417097053,27.61,21.46
ERIE,Erie Indemnity Co.,Financial Services,247.65,0.0179285282,0.0720720721,0.0721450259,4.493101621,11444.72727,39.72194762,0.821407975,0.614104641,285.1,156.92
ES,Eversource Energy,Utilities,83.34,0.0305975522,0.0580912863,0.0477019741,2.52218223,29651.41032,21.31025634,0.627408515,0.510819591,93.03,70.02
ESS,"Essex Property Trust, Inc.",Real Estate,220.24,0.0399564112,0.0526315789,0.0341462163,8.675102264,14278.21555,39.65906591,1.571576497,0.719598649,353.43,203.13
ETN,Eaton Corporation plc,Industrials,163.85,0.0197741837,0.0657894737,0.0418092681,3.21420555,65505.167,28.59239066,0.562908152,0.908520349,168.01,121.21
EVR,Evercore Inc,Financial Services,126.86,0.0219399027,N/A,N/A,2.811817933,4977.442452,7.876435382,0.184502489,1.262140615,131.85,78.16
EVRG,Evergy Inc,Utilities,62.99,0.0388950627,N/A,N/A,2.298385755,14671.96573,18.37210835,0.66427334,0.510592003,71.18,53.56
EXPD,"Expeditors International Of Washington, Inc.",Industrials,109.13,0.0122789334,N/A,N/A,1.336046762,17554.33452,11.03383472,0.140488619,0.875553316,123.06,85.57
EXR,Extra Space Storage Inc.,Real Estate,153.285,0.0391427733,0.2,0.139723049,5.920659057,20638.64668,22.34674227,0.90668592,0.905433545,216.5,139.97
FAF,First American Financial Corp,Financial Services,58.655,0.0354615975,0.0196078431,0.0647409304,2.030164707,6075.827778,12.95941595,0.472131327,1.004323281,78.41,43.1
FAST,Fastenal Co.,Industrials,48.345,0.0256489813,0.107142857,N/A,1.228273463,28076.68932,26.1787313,0.660362077,0.890210083,59.7,43.44
FCBC,First Community Bankshares Inc.,Financial Services,33.3,0.032850168,0.0740740741,N/A,1.106065158,552.606989,12.38085293,0.415813969,0.574362239,39.39,25.81
FDS,Factset Research Systems Inc.,Financial Services,411.88,0.00864329416,0.0853658537,0.0970853,3.479524372,15831.66657,37.15760529,0.316896573,0.802699722,474.13,344.54
FELE,"Franklin Electric Co., Inc.",Industrials,85.555,0.00911694232,0.114285714,0.126484523,0.777226483,3941.707329,20.91989256,0.193822066,0.920724607,95.96,67.77
FFIN,"First Financial Bankshares, Inc.",Financial Services,34.66,0.0186768136,0.133333333,N/A,0.655742924,5008.148893,21.66679167,0.407293742,0.694061217,52.2,32.53
FISI,Financial Institutions Inc.,Financial Services,24.51,0.0462431822,0.0740740741,0.0385737731,1.139894441,378.008563,6.034908496,0.284262953,0.560197926,32.97,22.64
FITB,Fifth Third Bancorp,Financial Services,34.175,0.0386247257,0.1,0.155789624,1.242066113,23955.22619,10.63259041,0.383353738,1.088406675,48.87,30.61
