Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
TDS,"Telephone And Data Systems, Inc.",Communication Services,7.93,0.09331652,0.027777778,0.029462068,0.707642321,833.689623,N/A,N/A,0.619908157,16.33,6.28
PETS,"Petmed Express, Inc.",Healthcare,13.79,0.087019579,0,0.021295688,1.186451986,291.980179,1253.133817,103.1697379,0.92350157,23.28,12.92
MO,Altria Group Inc.,Consumer Defensive,45.18,0.083222665,0.044444444,0.032779415,3.645484805,80648.08624,14.45306205,1.172181609,0.4160618,49.46,37.92
VZ,Verizon Communications Inc,Communication Services,33.43,0.078073587,0.01953125,0.01607249,2.544990829,140541.0567,6.681613421,0.508998166,0.485987814,43.23,31.25
EPD,Enterprise Products Partners L P,Energy,26.7,0.074906367,0.052631579,0.028243918,1.42863152,58059.38899,10.49329279,0.56691727,,27.28,21.65
WASH,"Washington Trust Bancorp, Inc.",Financial Services,31.65,0.070774092,0.037037037,0.054250739,2.660242299,538.658819,7.940955278,0.67863324,0.815953008,51.63,21.38
KEY,Keycorp,Financial Services,11.99,0.068390325,0.051282051,0.038152103,0.7913125,11213.82066,6.77981902,0.447069209,1.544616125,19.67,8.36
NWBI,Northwest Bancshares Inc,Financial Services,12.19,0.065627564,0,0.033037804,0.770128701,1548.902907,11.18309151,0.706540093,0.831622227,14.58,9.91
WBA,Walgreens Boots Alliance Inc,Healthcare,29.57,0.064930673,0.005235602,0.017554577,1.85966475,25526.63998,N/A,N/A,0.900779956,40.5,28.14
WPC,W. P. Carey Inc,Real Estate,66.99,0.063890133,0.009442871,0.008441635,4.169229749,14330.89048,19.01995642,1.164589315,0.598884523,84.37,64.9
MMP,Magellan Midstream Partners L.P.,Energy,65.75,0.063726236,0.009638554,0.018129567,4.061767534,13287.7857,11.60708045,0.735827452,0.484569279,66.78,42.93
LNC,Lincoln National Corp.,Financial Services,28.27,0.063671737,0,0.039925333,1.751293851,4793.422781,N/A,N/A,1.735266362,51.75,18.18
UVV,Universal Corp.,Consumer Defensive,50.38,0.063517269,0.012658228,0.012991368,3.097873447,1240.536615,10.00013394,0.623314577,0.576347733,55.23,41.68
TFC,Truist Financial Corporation,Financial Services,32.8,0.063414634,0.083333333,0.051258848,2.034249315,43688.81342,7.269353315,0.453062208,1.375009176,51.79,25.08
FLIC,First Of Long Island Corp.,Financial Services,13.79,0.060913706,0.05,0.043167564,0.810634137,311.040124,7.525771216,0.447864164,0.852151547,18.72,8.49
UHT,Universal Health Realty Income Trust,Real Estate,47.53,0.060593309,0.014084507,0.014498803,2.798957245,656.111012,32.55164774,1.917094003,0.668717059,55.86,39.19
LEG,"Leggett & Platt, Inc.",Consumer Cyclical,30.55,0.060229133,0.045454545,0.038950477,1.742973791,4066.565154,14.90130141,0.871486896,0.955170477,39.74,28.26
FISI,Financial Institutions Inc.,Financial Services,18.98,0.059984688,0.034482759,0.045639553,1.13850938,291.830217,5.588475998,0.335843475,0.835043102,26.44,13.36
NP,Neenah Inc,Basic Materials,32,0.058252616,N/A,N/A,1.864083699,537.253888,N/A,N/A,0.746464261,55.11,31.05
